municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;;valorMedida
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;00:30:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;00:40:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;00:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;01:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;02:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;03:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;04:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;05:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;06:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;07:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;08:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;09:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;10:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;01/10/2021;17:50:00;0
