municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;;valorMedida
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;00:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;01:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;02:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;03:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;03:20:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;03:30:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;04:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;05:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;06:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;07:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;08:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;09:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;10:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;11:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;12:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;13:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;14:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;15:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;16:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;17:00:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;17:10:00;7,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;17:20:00;4,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;17:30:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;18:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;18:20:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;19:00:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;20:10:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;20:40:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;21:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;22:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;22:40:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;23:10:00;0,8
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;23:20:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;01/12/2021;23:50:00;0,8
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;00:00:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;00:20:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;00:30:00;0,8
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;00:40:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;00:50:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;01:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;01:30:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;01:50:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;02:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;02:20:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;02:30:00;1,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;02:40:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;03:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;04:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;04:20:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;04:30:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;04:40:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;05:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;06:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;06:30:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;07:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;07:30:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;08:10:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;02/12/2021;09:10:00;0
